molregno,canonical_smiles,standard_type,standard_value,standard_units,pchembl_value,activity_comment,full_mwt,alogp,hba,hbd,rtb,psa,assay_type,assay_description
334315,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N(C)[C@@H](CCCN=C(N)N)C(=O)N[C@H](C=O)CCCN=C(N)N,Ki,47400.0,nM,4.32,,673.86,-0.79,8.0,8.0,24.0,279.5,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334456,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C=O)CCCN=C(N)N,Ki,61400.0,nM,4.21,,628.78,-0.76,7.0,7.0,19.0,253.48,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334455,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N,Ki,109000.0,nM,,,600.77,0.32,7.0,6.0,19.0,215.1,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334441,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCCN)C(=O)N[C@H](C=O)CCCNC(=N)N,Ki,41300.0,nM,4.38,,631.82,0.15,8.0,9.0,24.0,247.41,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334440,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C=O)CCCCN,Ki,20500.0,nM,4.69,,631.82,0.15,8.0,9.0,24.0,247.41,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334412,NCCCC[C@H](NC(=O)[C@H](Cc1ccccc1)NC(=O)c1ccccc1)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@H](C=O)CCCN=C(N)N,Ki,6800.0,nM,5.17,,693.85,-1.08,8.0,9.0,23.0,288.29,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334338,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C=O)CCCNC(=N)N,Ki,15800.0,nM,4.8,,678.84,0.4,7.0,10.0,22.0,257.27,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334320,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(=O)N[C@H](C=O)CCCNC(=N)N,Ki,40700.0,nM,4.39,,650.83,1.26,7.0,8.0,22.0,221.39,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334319,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C=O)Cc1ccccc1,Ki,15900.0,nM,4.8,,650.82,1.26,7.0,8.0,22.0,221.39,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334314,C[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C=O)CCCNC(=N)N,Ki,5300.0,nM,5.28,,617.76,-1.89,8.0,11.0,21.0,283.29,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334058,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](C)C(=O)N[C@@H](CCCNC(=N)N)C(=O)N[C@H](C=O)CCCNC(=N)N,Ki,22100.0,nM,4.66,,602.74,-0.83,7.0,10.0,20.0,257.27,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334069,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](C)C(=O)N[C@H](C=O)CCCN=C(N)N,Ki,500000.0,nM,,,574.73,-0.17,7.0,7.0,20.0,223.89,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
334285,CCCC[C@H](NC(=O)c1ccccc1)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](CCCN=C(N)N)C(=O)N[C@@H](C)C=O,Ki,193000.0,nM,,,574.73,-0.17,7.0,7.0,20.0,223.89,B,Inhibitory activity against dengue 2 NS3 protease fused via a linker to region of NS2B
418569,COc1cc(O)c2c(c1)O[C@H](c1ccccc1)CC2=O,Ki,345000.0,nM,,,270.28,3.11,4.0,1.0,2.0,55.76,B,Inhibition of dengue2 virus NS3 protease
349937,CC(C)=CC[C@@H]1C(C)=CC[C@@H](c2ccccc2)[C@@H]1C(=O)c1c(O)cc(O)cc1O,Ki,21000.0,nM,4.68,,392.5,5.71,4.0,3.0,5.0,77.76,B,Inhibition of dengue2 virus NS3 protease
349911,COc1cc(O)c(C(=O)[C@@H]2[C@H](CC=C(C)C)C(C)=CC[C@H]2c2ccccc2)c(O)c1,Ki,25000.0,nM,4.6,,406.52,6.01,4.0,2.0,6.0,66.76,B,Inhibition of dengue2 virus NS3 protease
349910,COc1cc(O)cc(O)c1C(=O)/C=C/c1ccccc1,Ki,377000.0,nM,,,270.28,3.0,4.0,2.0,4.0,66.76,B,Inhibition of dengue2 virus NS3 protease
