descriptor,mean_abs_shap
PEOE_VSA11,0.0026088769557141467
PEOE_VSA7,0.0025722329944230524
Kappa3,0.002562851156518412
SlogP_VSA5,0.0025454548699383323
BCUT2D_MRHI,0.002514809646504426
EState_VSA9,0.002442372022447952
SlogP_VSA10,0.0024108831840046257
AvgIpc,0.0024008290069034185
fr_phenol,0.0022827232139158993
MaxEStateIndex,0.0022534934766655426
fr_Ar_OH,0.00223111205499744
PEOE_VSA10,0.002181003061630584
VSA_EState1,0.002064864212893791
VSA_EState9,0.002037291377062499
MaxPartialCharge,0.002026604695127371
EState_VSA1,0.0020246030095429665
MinAbsPartialCharge,0.002002789124620053
Chi1n,0.0019765724046604868
SMR_VSA1,0.0019680040206121237
Chi4n,0.0018951206061303067
BCUT2D_MWHI,0.0018377019801878091
fr_amide,0.0017555383249899293
EState_VSA2,0.0017355817219945177
NumHeteroatoms,0.0017229023703802593
PEOE_VSA6,0.0016229082040780957
NOCount,0.0015814265233459962
PEOE_VSA9,0.0015339137968042045
NumAliphaticHeterocycles,0.0015092813526436522
EState_VSA6,0.0014588528122997273
EState_VSA5,0.0014297974263461793
fr_aniline,0.001412955305950945
EState_VSA7,0.0012567385967030438
SMR_VSA2,0.00124484570967349
SlogP_VSA12,0.0012171766146758585
VSA_EState10,0.0010910358771440073
NumRotatableBonds,0.0010765491956382062
fr_Ar_N,0.0010743635419553591
NumSaturatedRings,0.0010725735475348409
PEOE_VSA3,0.001070431299685662
SMR_VSA4,0.0010699811955971424
fr_NH1,0.0010578467933430237
NumHeterocycles,0.0009984037168415197
PEOE_VSA13,0.0009481020381314543
NumAmideBonds,0.0009331932372069376
fr_NH0,0.0008633889394291643
PEOE_VSA5,0.0008285565133409702
SlogP_VSA4,0.0008014921380580257
NumAromaticHeterocycles,0.0007967338887872124
NumHAcceptors,0.0007745763515661159
RingCount,0.000773947544983971
fr_NH2,0.0007281167065286529
fr_alkyl_carbamate,0.0006835185237417177
fr_sulfonamd,0.0006738393599916389
NumSaturatedCarbocycles,0.000615453914349562
NumAliphaticCarbocycles,0.0005966905683029302
fr_Ar_NH,0.0005865841487962421
fr_halogen,0.0005612551256313561
fr_ether,0.0005549758526212995
fr_pyridine,0.000554869089850429
fr_C_O,0.00051940662835895
fr_aryl_methyl,0.0005162625049324211
fr_Nhpyrrole,0.0005139114149325986
fr_C_O_noCOO,0.0004967287966679975
fr_furan,0.0004941957031691382
NumSaturatedHeterocycles,0.00046629791294720553
NumAtomStereoCenters,0.0004410020272460158
fr_piperdine,0.000438241839498188
PEOE_VSA4,0.0004174959286662874
PEOE_VSA14,0.0004039515586116505
fr_bicyclic,0.0003976788013042663
PEOE_VSA12,0.00037282079350622904
fr_unbrch_alkane,0.00031302534689068754
fr_Ndealkylation1,0.00027852999657845313
fr_tetrazole,0.00023556156711558698
fr_C_S,0.00021654228723051258
SlogP_VSA7,0.0002119540835002673
fr_guanido,0.00020688974867266534
fr_COO2,0.0001834385895708571
fr_nitrile,0.00018007836227184386
fr_ester,0.00017490575050212683
fr_COO,0.00017044702903191162
fr_sulfide,0.000168004003240721
fr_imidazole,0.00016552623415254332
fr_ArN,0.00015897782034252167
fr_methoxy,0.00012590203012497066
fr_para_hydroxylation,0.00012396481747207664
fr_allylic_oxid,0.00011578729456618608
fr_thiophene,0.00011382879358059843
fr_nitro_arom,0.00011157968808977083
fr_ketone,0.00010916643609494853
fr_Al_COO,0.00010884942975101105
fr_Al_OH_noTert,9.651621644257715e-05
fr_Al_OH,9.339578201570661e-05
fr_nitro_arom_nonortho,9.133075886664087e-05
fr_Ndealkylation2,9.11657916186967e-05
fr_Ar_COO,8.831808351521429e-05
fr_nitro,8.050877258468364e-05
fr_thiazole,7.393902607993836e-05
NumBridgeheadAtoms,6.918262126386024e-05
fr_priamide,6.246272726020648e-05
fr_hdrzone,4.519819258464593e-05
fr_alkyl_halide,4.300925722940564e-05
fr_piperzine,4.1236558834392806e-05
fr_aldehyde,4.0649224069672915e-05
fr_azo,3.6668095533626354e-05
fr_sulfone,2.721832935522858e-05
fr_lactam,1.817165202136234e-05
fr_ketone_Topliss,1.797933079021437e-05
fr_urea,1.4737741818789252e-05
fr_oxazole,1.1321253877262663e-05
Ipc,7.726400533798611e-06
fr_prisulfonamd,6.8297134715274934e-06
EState_VSA11,6.522145549848087e-06
NumSpiroAtoms,5.739588511720565e-06
fr_SH,2.81435933071396e-06
fr_lactone,2.2654853431782742e-06
fr_oxime,2.205571625748879e-06
fr_imide,9.666219657245729e-07
fr_quatN,0.0
fr_N_O,0.0
fr_HOCCN,0.0
fr_term_acetylene,0.0
NumUnspecifiedAtomStereoCenters,0.0
fr_amidine,0.0
fr_morpholine,0.0
fr_Imine,0.0
