bit_index,mean_abs_shap
656,0.0012060234544631573
1179,0.0011856012237193958
1874,0.0011680183318384526
1212,0.0011643568886610168
461,0.0011633914590135409
366,0.00115758244157557
802,0.0011280640352834125
1143,0.0011268840903055828
2042,0.0011252652033671947
1928,0.00112114948378836
1914,0.001120328396497712
561,0.0011172817161255958
1454,0.001113710477249652
1871,0.001103857319806557
1754,0.0010869746956777308
667,0.0010759346846363927
1570,0.0010746956446614662
1006,0.001073014025529935
1453,0.0010649813166584584
380,0.001058027474130359
407,0.0010534111351991576
294,0.0010427469524591166
1597,0.0010372240174200294
848,0.0010371132392758575
361,0.0010358114622048514
1279,0.0010323974866966721
1443,0.0010301226930172203
1669,0.0010083447603834003
875,0.0010067287565356754
839,0.0010067024154250923
1201,0.0010048881838644402
254,0.0010018853885442793
233,0.000999194674221167
1511,0.0009676920738453432
1573,0.0009495788405792282
675,0.0009314273745305195
708,0.0009268434322940967
2004,0.0009231403136936867
1095,0.0009220862904494055
1046,0.0009173643291552411
1729,0.0009172016044665089
460,0.0009166577483087568
785,0.0009034720547189599
1991,0.0008979543352925369
84,0.0008765444356685308
974,0.0008672336523880211
404,0.0008562016397623404
385,0.0008536411887550419
314,0.0008502583036611622
1224,0.0008466671986598025
964,0.000845554743092456
1799,0.0008300106222965152
79,0.0008288555358473173
1406,0.0008242575482214282
1403,0.0008230502089674273
162,0.0008208645584853926
1670,0.0008128975389647429
1524,0.0008114704776525765
1099,0.0008076162520453074
715,0.0007946490921666591
1518,0.0007870765084921938
1586,0.0007863074239901934
1423,0.0007828234471194853
1335,0.0007805049206970586
1476,0.000778473992563467
1382,0.0007778089070380172
816,0.0007756399614699394
1917,0.0007744133014562677
456,0.0007718818026194095
504,0.0007638591534369078
950,0.0007557319893580441
464,0.0007546241494889406
350,0.0007510921564162114
1970,0.0007492439547777509
1719,0.0007480839365842123
883,0.0007456913462031582
1858,0.0007383278765410391
1026,0.0007349472509499422
158,0.0007343128038097892
1876,0.0007338072442418425
1509,0.0007336056916440355
1795,0.0007277155690139813
1391,0.0007238246663849683
978,0.0007236784719135388
55,0.000719129369021465
1698,0.0007179656423560356
983,0.0007176809396016858
1996,0.0007149487344346961
130,0.0007148489397224741
1761,0.0007147695332547895
255,0.0007093735431836098
1674,0.0007072060446812554
699,0.0007036724606105235
1281,0.000702428785716687
222,0.0007015320738984719
93,0.0006939318544113491
739,0.0006938973179294574
1722,0.0006936644599124971
2024,0.0006923308222827351
1692,0.0006897825870639575
138,0.0006894370540421771
145,0.0006852839642376618
74,0.0006829411008277783
570,0.0006779820539727403
29,0.0006768569519169286
197,0.0006682182035803269
305,0.000663487571944571
1394,0.0006509232574315133
335,0.0006493390807292041
1581,0.0006490881621575486
1410,0.000637732732753491
649,0.0006368867141587003
993,0.0006324324764737912
242,0.0006266955392944206
690,0.0006239260824437472
1028,0.0006144770954122098
1305,0.0006041907184327627
1013,0.0006037484453750778
396,0.0006015590970558534
1097,0.0005977748876516779
767,0.000596520702164316
1029,0.0005931474010467125
650,0.0005894376353693937
338,0.0005845555030695314
800,0.0005841015625188768
1790,0.0005837207881584477
1357,0.0005807105077840472
471,0.00057970405816393
1455,0.0005707879129945025
212,0.0005692814529434339
502,0.0005678167769671737
1777,0.0005660493119553347
689,0.0005654406705996314
1638,0.0005648360244417542
1296,0.0005636597152411418
618,0.0005574677138526543
34,0.0005548787503276074
1331,0.0005542533600595432
909,0.0005505052968159922
1488,0.0005503649691161762
2009,0.0005500838002786332
1999,0.0005475416910968783
714,0.0005468627848618129
1522,0.0005447136967950041
894,0.0005435343269348352
119,0.0005432055059764893
1313,0.0005400181648157987
807,0.0005365287145752874
784,0.0005364696010105137
433,0.0005362198716548913
478,0.000535951084047671
1430,0.0005309583069633543
562,0.0005300296861647464
1158,0.0005299966475025181
1959,0.0005296041906248209
1766,0.0005235707184854631
384,0.0005229175888879003
1746,0.0005214089512059158
654,0.0005198447212788604
806,0.0005192899419318924
1245,0.0005171785871368432
1760,0.0005165348180017626
1273,0.0005115729886279068
1916,0.0005106330303775152
1226,0.0005057642531445947
1564,0.0005046178937960864
1749,0.0005013989436671683
2021,0.0004973578002160327
41,0.0004946977930765715
1579,0.00048716004459413415
1180,0.00048670272501836765
1435,0.0004860615235634165
319,0.0004855767607364866
329,0.00048318469111903364
250,0.00048138070449100145
1664,0.0004797150405741071
1007,0.0004783421028664555
1384,0.00047569370884876827
859,0.0004703148920616457
786,0.0004691054334794767
293,0.00046117663023570964
1270,0.00045585962727094794
4,0.00045427287419852
237,0.0004526480821972461
694,0.000451830274567034
1431,0.0004498776587598261
1631,0.00044671639834030025
701,0.0004435588398828078
1449,0.00044299141768979356
1604,0.0004400570377884093
73,0.0004324858822184945
2010,0.0004316185171287276
728,0.0004266278331416499
182,0.00042617600800071566
214,0.0004260823257682522
706,0.00042406609208003084
1221,0.0004201973593301663
1147,0.00041803888269742635
1864,0.0004164464065000159
449,0.0004163583253615068
787,0.00041601311467157835
2041,0.00041356409071223595
1086,0.0004125345935373471
606,0.00041053632064689215
